Country,Code,Continent,Region
Afghanistan,AFG,Asia,Southern Asia
Åland Islands,ALA,Europe,Northern Europe
Albania,ALB,Europe,Southern Europe
Algeria,DZA,Africa,Northern Africa
American Samoa,ASM,Oceania,Polynesia
Andorra,AND,Europe,Southern Europe
Angola,AGO,Africa,Middle Africa
Anguilla,AIA,North America,Caribbean
Antarctica,ATA,Antarctica,Antarctica
Antigua and Barbuda,ATG,North America,Caribbean
Argentina,ARG,South America,South America
Armenia,ARM,Asia,Western Asia
Aruba,ABW,North America,Caribbean
Australia,AUS,Oceania,Australia and New Zealand
Austria,AUT,Europe,Western Europe
Azerbaijan,AZE,Asia,Western Asia
Bahamas,BHS,North America,Caribbean
Bahrain,BHR,Asia,Western Asia
Bangladesh,BGD,Asia,Southern Asia
Barbados,BRB,North America,Caribbean
Belarus,BLR,Europe,Eastern Europe
Belgium,BEL,Europe,Western Europe
Belize,BLZ,North America,Central America
Benin,BEN,Africa,Western Africa
Bermuda,BMU,North America,Northern America
Bhutan,BTN,Asia,Southern Asia
Bolivia (Plurinational State of),BOL,South America,South America
"Bonaire, Sint Eustatius and Saba",BES,North America,Caribbean
Bosnia and Herzegovina,BIH,Europe,Southern Europe
Botswana,BWA,Africa,Southern Africa
Bouvet Island,BVT,South America,South America
Brazil,BRA,South America,South America
British Indian Ocean Territory,IOT,Africa,Eastern Africa
British Virgin Islands,VGB,North America,Caribbean
Brunei Darussalam,BRN,Asia,South-eastern Asia
Bulgaria,BGR,Europe,Eastern Europe
Burkina Faso,BFA,Africa,Western Africa
Burundi,BDI,Africa,Eastern Africa
Cabo Verde,CPV,Africa,Western Africa
Cambodia,KHM,Asia,South-eastern Asia
Cameroon,CMR,Africa,Middle Africa
Canada,CAN,North America,Northern America
Cayman Islands,CYM,North America,Caribbean
Central African Republic,CAF,Africa,Middle Africa
Chad,TCD,Africa,Middle Africa
Chile,CHL,South America,South America
China,CHN,Asia,Eastern Asia
"China, Hong Kong Special Administrative Region",HKG,Asia,Eastern Asia
"China, Macao Special Administrative Region",MAC,Asia,Eastern Asia
Christmas Island,CXR,Oceania,Australia and New Zealand
Cocos (Keeling) Islands,CCK,Oceania,Australia and New Zealand
Colombia,COL,South America,South America
Comoros,COM,Africa,Eastern Africa
Congo,COG,Africa,Middle Africa
Cook Islands,COK,Oceania,Polynesia
Costa Rica,CRI,North America,Central America
Côte d’Ivoire,CIV,Africa,Western Africa
Croatia,HRV,Europe,Southern Europe
Cuba,CUB,North America,Caribbean
Curaçao,CUW,North America,Caribbean
Cyprus,CYP,Asia,Western Asia
Czechia,CZE,Europe,Eastern Europe
Democratic People's Republic of Korea,PRK,Asia,Eastern Asia
Democratic Republic of the Congo,COD,Africa,Middle Africa
Denmark,DNK,Europe,Northern Europe
Djibouti,DJI,Africa,Eastern Africa
Dominica,DMA,North America,Caribbean
Dominican Republic,DOM,North America,Caribbean
Ecuador,ECU,South America,South America
Egypt,EGY,Africa,Northern Africa
El Salvador,SLV,North America,Central America
Equatorial Guinea,GNQ,Africa,Middle Africa
Eritrea,ERI,Africa,Eastern Africa
Estonia,EST,Europe,Northern Europe
Eswatini,SWZ,Africa,Southern Africa
Ethiopia,ETH,Africa,Eastern Africa
Falkland Islands (Malvinas),FLK,South America,South America
Faroe Islands,FRO,Europe,Northern Europe
Fiji,FJI,Oceania,Melanesia
Finland,FIN,Europe,Northern Europe
France,FRA,Europe,Western Europe
French Guiana,GUF,South America,South America
French Polynesia,PYF,Oceania,Polynesia
French Southern Territories,ATF,Africa,Eastern Africa
Gabon,GAB,Africa,Middle Africa
Gambia,GMB,Africa,Western Africa
Georgia,GEO,Asia,Western Asia
Germany,DEU,Europe,Western Europe
Ghana,GHA,Africa,Western Africa
Gibraltar,GIB,Europe,Southern Europe
Greece,GRC,Europe,Southern Europe
Greenland,GRL,North America,Northern America
Grenada,GRD,North America,Caribbean
Guadeloupe,GLP,North America,Caribbean
Guam,GUM,Oceania,Micronesia
Guatemala,GTM,North America,Central America
Guernsey,GGY,Europe,Northern Europe
Guinea,GIN,Africa,Western Africa
Guinea-Bissau,GNB,Africa,Western Africa
Guyana,GUY,South America,South America
Haiti,HTI,North America,Caribbean
Heard Island and McDonald Islands,HMD,Oceania,Australia and New Zealand
Holy See,VAT,Europe,Southern Europe
Honduras,HND,North America,Central America
Hong Kong,HKG,Asia,Eastern Asia
Hungary,HUN,Europe,Eastern Europe
Iceland,ISL,Europe,Northern Europe
India,IND,Asia,Southern Asia
Indonesia,IDN,Asia,South-eastern Asia
Iran (Islamic Republic of),IRN,Asia,Southern Asia
Iraq,IRQ,Asia,Western Asia
Ireland,IRL,Europe,Northern Europe
Isle of Man,IMN,Europe,Northern Europe
Israel,ISR,Asia,Western Asia
Italy,ITA,Europe,Southern Europe
Jamaica,JAM,North America,Caribbean
Japan,JPN,Asia,Eastern Asia
Jersey,JEY,Europe,Northern Europe
Jordan,JOR,Asia,Western Asia
